"""Município"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"""
110001 Alta Floresta D'Oeste;24422;24228;24069;25728;25652;25578;25506;25437;23167
110037 Alto Alegre dos Parecis;12826;12825;12833;13827;13884;13940;13993;14045;13227
110040 Alto Paraíso;17144;17444;17742;19459;19841;20210;20569;20916;20999
110034 Alvorada D'Oeste;16864;16625;16404;17399;17228;17063;16902;16747;14722
110002 Ariquemes;90354;91570;92747;101269;102860;104401;105896;107345;106168
110045 Buritis;32385;32899;33397;36555;37207;37838;38450;39044;38937
110003 Cabixi;6309;6221;6132;6495;6424;6355;6289;6224;5438
110060 Cacaulândia;5727;5764;5791;6268;6318;6367;6414;6460;6190
110004 Cacoal;78601;78959;79330;85863;86556;87226;87877;88507;84813
110070 Campo Novo de Rondônia;12669;12758;12847;13939;14081;14220;14354;14484;14009
110080 Candeias do Jamari;19782;20292;20787;22973;23573;24155;24719;25266;25983
110090 Castanheiras;3581;3527;3479;3689;3653;3617;3583;3550;3119
110005 Cerejeiras;17030;16939;16852;18041;18013;17986;17959;17934;16444
110092 Chupinguaia;8304;8515;8721;9636;9887;10129;10364;10593;10886
110006 Colorado do Oeste;18602;18338;18093;19190;19001;18817;18639;18467;16227
110007 Corumbiara;8802;8655;8530;9036;8938;8842;8749;8659;7567
110008 Costa Marques;13700;14023;14355;15853;16258;16651;17031;17400;17855
110094 Cujubim;15873;16570;17262;19410;20204;20974;21720;22443;24226
110009 Espigão D'Oeste;28741;28963;29189;31699;32047;32385;32712;33030;32047
110100 Governador Jorge Teixeira;10513;10272;10040;10534;10327;10127;9933;9745;8095
110010 Guajará-Mirim;41646;41934;42202;45761;46203;46632;47048;47451;45783
110110 Itapuã do Oeste;8561;8700;8830;9661;9831;9995;10155;10310;10272
110011 Jaru;52043;51883;51765;55597;55669;55738;55806;55871;51933
110012 Ji-Paraná;116587;117363;118092;128026;129242;130419;131560;132667;127907
110013 Machadinho D'Oeste;31107;31780;32403;35633;36412;37167;37899;38609;39097
110120 Ministro Andreazza;10354;10277;10203;10899;10860;10823;10786;10751;9762
110130 Mirante da Serra;11869;11781;11686;12469;12414;12360;12308;12258;11080
110140 Monte Negro;14090;14204;14313;15541;15710;15873;16032;16186;15695
110014 Nova Brasilândia D'Oeste;19845;19883;19891;21427;21511;21592;21670;21747;20459
110033 Nova Mamoré;22552;23143;23719;26227;26925;27600;28255;28891;29757
110143 Nova União;7498;7437;7382;7883;7853;7824;7796;7769;7047
110050 Novo Horizonte do Oeste;10237;10084;9933;10515;10393;10276;10161;10051;8751
110015 Ouro Preto do Oeste;37941;37702;37482;40099;40010;39924;39840;39759;36340
110145 Parecis;4810;4902;4990;5477;5589;5697;5802;5904;5947
110018 Pimenta Bueno;33754;33981;34135;36939;37230;37512;37786;38051;36434
110146 Pimenteiras do Oeste;2322;2299;2283;2440;2432;2424;2417;2410;2191
110020 Porto Velho;426558;435732;442701;484992;494013;502748;511219;519436;519531
110025 Presidente Médici;22319;22009;21709;23017;22783;22557;22337;22124;19409
110147 Primavera de Rondônia;3523;3464;3406;3597;3548;3501;3456;3411;2939
110026 Rio Crespo;3316;3346;3374;3666;3709;3750;3790;3829;3723
110028 Rolim de Moura;50672;50899;51142;55357;55807;56242;56664;57074;54702
110029 Santa Luzia D'Oeste;8886;8678;8476;8887;8706;8532;8362;8198;6781
110148 São Felipe D'Oeste;6018;5939;5862;6219;6160;6103;6048;5994;5280
110149 São Francisco do Guaporé;16019;16341;16636;18265;18640;19002;19353;19694;19842
110032 São Miguel do Guaporé;21824;21879;21927;23668;23803;23933;24059;24181;22931
110150 Seringueiras;11649;11624;11619;12505;12543;12581;12617;12653;11860
110155 Teixeirópolis;4893;4832;4778;5080;5041;5003;4966;4931;4384
110160 Theobroma;10644;10612;10575;11343;11345;11347;11348;11350;10494
110170 Urupá;12969;12828;12687;13491;13391;13293;13198;13106;11665
